zipcode,residual_median,residual_sd,intercept,slope,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
10025,-286.9574515,44528.76255,1436352.506,1321.938406,-9264.866623,7685.429674,-15887.77634,11078.59403,5018.698192,-6178.900022,23206.19819,-9283.963845,-4889.577271,-26851.09347,17969.79773,7397.459766
60657,-1413.454785,10715.15902,381830.7357,5732.692953,2639.950734,12723.97851,11089.61046,1955.145179,-627.1788952,-4702.042569,-8404.749208,-7361.253259,-2322.288849,-2574.314312,1147.936846,-3564.794636
77494,-231.935385,3973.768642,381711.3262,-489.4692935,548.6686026,-1734.599916,2194.327746,3720.019008,3683.847422,1296.904631,-385.7526937,-3675.297833,-2903.171386,-2065.284812,-1220.355414,540.6946442
75070,-41.67400725,6152.635947,316277.995,2125.280815,11586.29727,5735.435003,5309.653753,4171.029331,-1669.662798,-5824.021429,-9193.718933,-8333.459673,-6866.817312,-1811.627497,124.5015535,6772.390732
60614,-2179.829548,12640.5277,541797.7118,6581.238333,17752.31486,16459.6644,-11977.2569,-15214.64116,-21613.76833,-13891.67197,-1606.886526,-8835.70597,4387.905141,10447.62736,12771.52783,11320.89125
79936,366.3982756,1816.067611,129061.49,409.3828804,-2946.188206,-1151.377442,324.8337846,1908.342465,1296.549352,2392.795383,1469.45184,1035.568738,1086.733669,-787.6077663,-2416.123681,-2212.978137
77084,-4.789703208,2795.608788,172392.9912,672.1359783,-1791.394035,480.0249463,304.0602472,1156.84902,2785.453766,864.2117022,754.4355365,-38.12869957,-1436.885065,-825.004857,-2224.409371,-29.21319031
60640,-827.3750965,5258.320923,240497.0713,884.3315217,-11629.25106,-9725.692033,-1116.317033,6135.245467,3969.909819,6609.493152,3569.620467,3419.794078,4869.620467,6260.071856,-2220.396894,-10142.09828
77449,-54.21349689,2528.9548,180058.229,85.50653986,487.9669691,162.9206728,881.0259969,555.8680108,-109.8249869,-454.0808153,-889.1568735,-995.081642,-574.7049059,-55.05675774,478.3587515,511.7655802
10016,2796.500093,41428.13629,1500284.591,-715.2956522,-19389.8288,-13847.58343,-15260.48534,-7105.679202,-7552.693669,4454.949229,5686.869699,5454.225023,6871.499328,7746.748171,17705.36796,15236.61102
11375,608.2373684,9907.152199,363058.1627,4084.79087,-5330.404903,1566.372296,129.5985691,-1422.459591,2265.153835,7858.949305,2234.503662,3508.005398,-1465.912426,-1637.43326,-1282.966246,-6423.406639
32162,-286.6714582,4018.726915,248097.7441,3.417971014,2978.817746,1842.714158,-570.4062121,-2491.35818,-1988.592555,-3204.474375,-4963.709742,-5147.997358,790.2422254,5852.96329,5533.045466,1368.755536
11235,-529.6701389,17122.00588,601849.215,1681.96558,208.8368056,-4301.145833,-7085.881944,-3455.225694,452.7604167,-1579.357639,950.5520833,-1114.079861,12139.82639,8422.204861,-551.7534722,-4086.736111
60647,1304.627677,7748.398189,393069.0106,3535.57471,19781.76295,-367.3689959,-9235.684968,-9231.293764,-5549.117839,-11782.55997,-16563.36813,-16384.81084,393.1388166,11078.90097,24472.82284,13387.57892
37013,107.0035825,4391.719292,159574.9485,1878.522174,-4493.757923,-3706.82158,-688.9130153,1928.44636,3366.27651,1611.765391,2901.862737,1727.624311,1237.614473,-2212.449474,281.826568,-1953.474358
90250,478.868803,6633.676539,477136.0759,5063.21587,-22815.19519,-7918.122275,2525.237968,12983.23189,5858.876567,8461.185595,6689.125989,2764.259669,10301.96453,-1016.611859,-3148.851442,-14685.10144
60618,2270.025559,9288.821753,383392.1347,5324.976449,11896.20708,9915.130691,4987.266107,-8954.226948,-73.12162423,4092.040413,2810.529996,-7743.289448,-919.6783372,-13473.49778,-5409.956115,2872.595968
10011,-7851.711516,61750.41683,3745384.028,-49066.2375,73364.48929,44817.82263,127965.1837,161341.8157,-98587.44647,-113978.1583,-107520.667,-50298.80932,-79908.11487,-38544.81626,35066.71152,46281.98929
78660,308.8844487,4412.318865,252778.0652,718.9972826,2404.186732,19.57562073,-663.8482797,-967.2788353,256.1204703,974.788253,487.074174,-89.23543251,-886.7264626,-3472.259449,-139.4585228,2077.061732
77573,127.9311515,4340.790801,287269.3264,735.76875,3983.425041,919.4991147,546.0630615,205.6122513,-1693.578721,-3712.290609,-2458.700249,-1049.562517,-1614.53011,1334.895816,135.482043,3403.684879
77584,1375.42286,6169.988482,304682.9719,-221.603587,4222.379802,1106.110126,2789.083506,-1418.954978,-4096.93646,-2132.604036,-4009.667941,93.57337825,466.7736097,758.2504616,939.1063644,1282.886168
28269,806.9849537,5637.916759,168735.4952,1517.915942,-4109.438657,-3043.055556,-808.3217593,1956.684028,4587.517361,6650.908565,3483.69213,1581.001157,-2013.773148,-1667.488426,-1960.844907,-4656.880787
78572,600.359406,6333.029958,218476.7772,-407.5688406,-8352.416698,-6087.9601,-1066.842624,2027.380467,2481.922712,5255.438998,5375.221613,6261.009807,978.9397838,55.28411252,980.1423301,-7908.120401
94565,-108.5778356,5913.527315,331541.8001,3103.435435,-9446.012442,1309.661169,8827.574363,10418.67159,2665.143808,3771.508391,236.6889468,2668.952836,-2776.658275,1024.567419,-8653.453414,-10046.64439
79912,448.0910563,3205.612853,205331.42,842.9886232,-5804.299514,-5714.447083,5656.878148,5906.331273,5580.075486,3041.971444,2799.601817,1764.212639,-582.8122451,-2566.410046,-4152.47081,-5928.631111
90046,-2676.408179,55735.54049,1253480.042,8641.068841,-6083.892747,12813.6767,10018.9429,-27508.25617,1228.780864,-5747.145062,-3508.371914,13354.47531,-24883.37191,39547.18364,2767.669753,-11999.69136
20002,-0.175009645,12160.26625,506889.8167,4778.939384,-4154.871865,-8711.331935,9271.227093,-3998.809944,-5482.908324,-636.0321663,8281.258343,3943.397232,13856.51182,2207.560426,-2559.488185,-12016.51249
78130,93.47484706,3501.008042,245365.7376,-93.42456522,-3226.476666,-1673.74692,1701.809214,1883.411066,3995.344225,2319.947028,253.1000124,-25.6499876,-1291.507626,55.5843874,-2504.655485,-1487.159247
20009,504.7520048,17812.84116,490022.2675,2517.65721,-7766.939505,6074.229187,-3834.238984,3701.005808,1872.092035,268.8889509,-1424.449921,-1107.08881,-4918.277468,3978.391514,3644.155403,-487.7682085
78613,530.2234141,7929.920497,315298.6268,-781.9926449,4056.369757,2514.102396,2130.032662,-1933.740775,-585.5254974,-1822.851473,-5990.090602,-5886.058773,-5089.963287,4020.094873,2450.231447,6137.399271
75052,-105.6039014,1724.211497,168663.9574,1679.376739,-4968.701943,-3327.224513,-2396.424166,177.4534385,2522.494526,3976.036193,2676.586251,1475.285904,134.6626399,1836.834515,1287.72514,-3394.727985
37042,-73.21746858,2144.153982,147724.1594,26.63724638,-1503.282821,-278.8158069,217.67667,1060.88211,2048.521288,1929.854373,2093.232804,1105.217179,-1486.791501,-2046.971478,-1415.144511,-1724.378307
63376,310.3494268,3434.491329,178313.093,750.6864493,475.496638,1033.900573,-985.5855379,1367.770944,4341.122795,1516.927028,743.5345431,-613.6107115,-1990.547633,-1668.323674,-774.5959546,-3446.08901
77429,476.7853113,7437.809022,286635.24,244.3416304,2437.413763,958.0393415,1764.413184,4069.882513,4447.151899,372.2920697,-2754.320033,-5578.571191,116.1811239,-2356.593182,-4482.76795,1006.878462
60613,-791.9255401,7067.807352,278239.5984,1243.346014,-5329.433835,14559.97936,16851.99498,13194.21489,10253.82369,-3665.618441,-7755.107446,-11422.89911,-14477.27758,-1231.440779,-2482.826196,-8495.409529
30044,-107.8822579,2376.934944,151811.5183,1601.630761,-6307.646388,-6955.467568,3031.336251,3719.291401,3332.459226,2743.49742,4795.208647,4192.691286,1861.35448,-2211.909409,-3508.437187,-4692.378159
77479,-348.8753617,5309.923153,453560.474,-194.7951449,4600.218533,2401.558811,3275.638093,1838.574436,374.0507089,-4230.437717,-3537.524233,-5760.066768,-902.0077402,1217.035663,229.7578848,493.2023293
10463,-1613.591098,8223.399004,254640.0263,2200.502899,-3492.551264,-5387.022907,1098.508343,3002.673852,456.8972319,3604.012394,3782.606723,4018.059848,2489.823737,-1152.268856,-1450.412375,-6970.326726
73099,200.2648431,2820.39705,193080.3608,632.7168297,1855.927865,2261.747888,-1240.929774,-370.4205144,625.0291384,-424.6781615,-1328.155468,-358.6910583,-1306.287702,-2097.292331,538.6220204,1845.128097
60629,344.116657,2336.997807,127719.9707,1411.566232,-5871.077305,-4546.731819,-2750.728347,-104.8029996,2273.839362,2781.418065,4012.387973,2305.533806,2424.287278,-1427.013069,1534.29075,-631.4036941
60625,-122.4172454,4674.111202,255292.9571,2243.651902,-2411.984664,-6845.590567,-3190.984664,3598.006655,5577.557002,15995.27054,-3111.653935,-10550.25637,-8746.666956,4454.558738,6322.379919,-1090.635706
11212,1603.447434,12642.72376,396125.6319,3299.806667,-17185.77903,-19933.17487,-24246.56202,-13844.70554,-342.1534529,12136.54909,27568.56125,20115.43625,13982.9918,5288.797357,947.0334684,-4486.994309
30043,361.2091773,3849.654631,198840.4937,1906.932174,1702.916112,-2674.784409,-1750.258367,2265.29661,-599.5633439,-258.5112606,-2086.625555,-171.5300685,-289.6897907,1474.450834,1028.277223,1360.022015
77433,-499.3193893,7730.576061,343888.4133,-1396.291123,6503.970142,2328.271068,-513.9395806,-2156.174534,-2393.598724,-3548.542507,-3473.669615,-1856.408041,-1142.501791,-1285.576444,-1914.348435,9452.518463
75287,-295.5516941,10388.34651,286842.8048,3455.481866,-11252.89072,-3019.66532,1369.487458,-1218.215956,9922.482539,8180.61221,-38.83372258,3629.671486,-1031.647091,1763.468071,-898.6378314,-7405.831118
21234,-369.2307305,2547.114385,178817.0408,781.4559058,-2282.536631,-4773.490334,105.1908,1146.585476,1740.613254,4103.9012,3811.916784,2050.005325,1014.482756,-2645.57685,-1054.151214,-3216.940566
77077,-2232.365162,3898.652806,373938.4044,-564.4006884,-1327.837963,-1660.66522,4248.791377,2454.502315,2344.960648,3898.948495,-8120.457755,3018.722801,2804.889468,3414.460648,-5133.726852,-5942.587963
28277,1914.122258,9042.897834,349276.8653,920.9193841,-8946.520985,-5103.557443,1728.650311,10063.41709,11541.32334,10780.72302,4614.408703,2412.639605,-5442.771564,-5190.23279,-6036.46051,-10421.61879
85032,-907.7594522,2331.876965,215677.7325,1367.711957,-3369.237076,-897.101659,-265.3308256,7626.683063,5827.435378,4370.317323,1440.485147,-2069.15027,-1696.233603,-4131.997492,-402.8308256,-6433.039159
7030,1233.615916,14628.53075,675174.2829,6674.468478,16926.05075,2912.194269,5371.085472,6291.360935,6397.628875,8304.78,-4855.497861,-15687.64456,-18450.89022,-12900.38906,-2950.993231,8642.314639
75034,-1147.191279,9564.944726,457192.6268,3290.806938,-2092.659126,-4839.69327,10563.27606,6323.423339,2641.665237,2785.169081,-847.7676332,158.0607811,-4034.531522,-8705.261846,-2494.028629,542.3475288
11214,-3760.372251,18505.67632,593512.6404,1929.512101,-4842.469763,-2628.339554,-18659.7432,-783.6095197,8168.334925,5005.696036,-845.7440683,-6763.089554,12076.92607,7341.41739,5279.998987,-3349.377749
23464,-51.76927979,3157.955664,230216.3673,732.5822826,-4412.303926,-3586.004736,129.6289441,2849.689997,5947.937104,3918.188675,3792.034905,74.7559696,-733.7706508,-1829.063475,-1902.768336,-4248.32447
78704,-1985.438196,12897.59319,547598.7636,692.3447464,-10417.35984,-8522.764929,5075.953242,13736.66505,10510.8838,4988.385864,-1525.577429,-9250.808911,-4165.531133,-2722.220948,3160.533682,-868.1584477
30096,639.7449363,9175.619149,232911.6561,-556.2697101,1847.711661,-8964.441117,-7021.559172,2213.603443,-2035.696325,-2487.954427,-8064.093895,-5453.156395,3731.218605,11303.44083,7796.7568,7134.169994
98052,779.4579475,17132.087,630491.9928,2457.767663,-17964.87027,-55619.47328,-29249.36564,-1926.83613,34715.83285,33746.8398,18289.86728,16227.66069,2378.206115,7465.397087,4322.801601,-12386.06009
77379,-127.0787347,5682.670765,319944.8729,-1012.172609,2925.133133,1096.762473,1267.885737,733.0118944,-2698.885096,-4555.651961,-3240.583592,-3589.589957,2105.886316,-594.7595176,1964.31311,4586.477462
60619,-40.18757234,3356.110948,81451.59013,842.3015399,-1572.42759,2088.249494,543.7182436,1949.999494,3297.32704,458.1406973,603.5290075,-193.5196036,-1032.755715,-4034.569083,-2217.729673,110.0376881
78245,-497.5016913,4849.269991,198535.9598,265.4008514,1.305510775,-882.1302531,1360.833867,178.2256497,80.58705013,1156.474451,-56.64819293,-702.2989452,-2384.538529,-1152.938702,1930.850071,470.2780223
11221,1474.267795,26882.64813,1015104.982,-695.6785507,-10462.24696,35732.19054,-11419.3355,-11095.94141,20451.36762,-3576.882378,68235.42144,59585.72352,-46595.26953,-42336.12717,-34602.88759,-23916.01259
78666,-303.2131076,4755.070631,255870.7603,583.6111232,481.8467882,-2202.694878,-37.0901331,-1734.773872,-1304.446325,-164.3155382,-768.8644387,-320.2052951,2271.736256,4601.14974,633.1297743,-1455.472078
10019,9295.695891,41825.10908,1922357.563,-5476.980072,33802.00376,-35501.98929,-33181.85041,34189.15654,-22854.56453,-32933.96267,15924.66001,17026.22251,-20307.11082,-2907.718461,17416.93432,29328.21904
44107,-313.3288002,1871.576436,127238.404,1534.075181,-2439.218654,-5135.902681,-3219.808931,-2410.9837,-135.0340471,2574.086323,1722.612944,612.4914159,2902.040027,4020.203221,3411.267458,-1901.753376
30024,328.9989253,6279.659247,369210.8613,871.6717935,1747.18998,198.619957,206.7275959,-365.4601935,4503.032283,597.2163525,-1018.176918,-475.8869874,-2410.878886,-3001.508515,2068.96689,-2049.841559
75067,-741.807798,1807.128422,224949.2135,758.3163949,-350.9126881,-2340.895327,-3108.044633,-1588.180049,7583.594256,2373.444083,420.1307147,599.839048,1132.589048,-5228.202619,-62.50470197,569.1428675
